guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/jet-airways-crisis-worsens-as-government-steps-in-pilots-threaten-strike/story-sC5cgpyW3I1dO9C3AaEhbO.html',"b'Jet Airways crisis worsens as government steps in, pilots threaten strike'","b'Tue, 19 Mar 2019 02:36:46 GMT '","b'A crisis at India\xe2\x80\x99s Jet Airways deepened on Tuesday as an increasingly worried government called for an emergency meeting, angry passengers demanded refunds and pilots threatened to go on strike over unpaid salaries.'",b'https://www.hindustantimes.com/india-news/jet-airways-crisis-worsens-as-government-steps-in-pilots-threaten-strike/story-sC5cgpyW3I1dO9C3AaEhbO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/jet-airways_b05c301c-4a53-11e9-bf2d-62d340f7f10c.jpg
b'https://www.hindustantimes.com/india-news/under-construction-building-collapses-in-karnataka-s-dharwad-many-feared-trapped/story-P7Ozkc87rZwmCbAlYuPkwN.html',"b""2 dead, many feared trapped after under-construction building collapses in Karnataka's...""","b'Tue, 19 Mar 2019 02:22:23 GMT '",b'The incident took place in Kumareshwara Nagar area of the district. Officials said around 40 people are believed to be trapped in the debris of the five-storey building. ',b'https://www.hindustantimes.com/india-news/under-construction-building-collapses-in-karnataka-s-dharwad-many-feared-trapped/story-P7Ozkc87rZwmCbAlYuPkwN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/_00de6ca2-4a3c-11e9-9111-3135b956f139.jpg
b'https://www.hindustantimes.com/columns/diplomatic-patience-will-pay-more-dividends-on-the-china-front/story-fTexzvpqamZy4hL3Gha9QI.html',b'Diplomatic patience will pay more dividends on the China front',"b'Tue, 19 Mar 2019 02:10:49 GMT '",b'Diplomacy should help expand our options in such a context rather foreclose them in petulance. Think of how the Chinese are dealing with the Trump administration over the trade war. New Delhi\xe2\x80\x99s efforts should be geared towards getting China to yet again calibrate its approach to India and Pakistan',b'https://www.hindustantimes.com/columns/diplomatic-patience-will-pay-more-dividends-on-the-china-front/story-fTexzvpqamZy4hL3Gha9QI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/01/Pictures/pti11-30-2018-000263b_41c51b06-f54d-11e8-84c6-a70c31b0a588.jpg
b'https://www.hindustantimes.com/india-news/lok-sabha-elections-2019-tdp-s-nama-nageshwar-rao-one-of-richest-politicians-quits-party-may-join-trs/story-FUNJnazN1kFT1QXL44eF7O.html',"b""TDP's Nama Nageshwar Rao, one of richest politicians, quits party; may join TRS""","b'Tue, 19 Mar 2019 12:31:41 GMT '","b'Nageshwar Rao is expected to join the TRS soon and is likely to be fielded as party candidate for the Lok Sabha elections from Khammam, in place of sitting MP Ponguleti Srinivas Reddy.'",b'https://www.hindustantimes.com/india-news/lok-sabha-elections-2019-tdp-s-nama-nageshwar-rao-one-of-richest-politicians-quits-party-may-join-trs/story-FUNJnazN1kFT1QXL44eF7O.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/_ceb0dace-4a42-11e9-9111-3135b956f139.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-too-late-says-arvind-kejriwal-s-aap-as-congress-warms-up-to-delhi-alliance/story-U2PJ5NORviXFcBwF9SncDL.html',"b""Lok Sabha elections 2019: Too late, says Arvind Kejriwal's AAP as Congress warms...""","b'Tue, 19 Mar 2019 12:13:59 GMT '","b'The Congress is extremely divided in Delhi over the alliance and has already wasted a lot of time, said Gopal Rai, convenor of AAP\xe2\x80\x99s Delhi unit.'",b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-too-late-says-arvind-kejriwal-s-aap-as-congress-warms-up-to-delhi-alliance/story-U2PJ5NORviXFcBwF9SncDL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/arvind-kejriwal-protest_9d6bb668-4a2f-11e9-bf2d-62d340f7f10c.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-election-2019-shivpal-yadav-forms-political-front-apna-dal-peace-party-join-in/story-Xz7nox7c89lrwTACRBsppO.html',"b'Lok Sabha election 2019: Shivpal Yadav forms political front, Apna Dal, Peace Party...'","b'Tue, 19 Mar 2019 11:45:34 GMT '",b'Shivpal Yadav said the Progressive Democratic Alliance (PDA) will contest 79 of the 80 Lok sabha seats in Uttar Pradesh.',b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-election-2019-shivpal-yadav-forms-political-front-apna-dal-peace-party-join-in/story-Xz7nox7c89lrwTACRBsppO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/hindustan-shivpal-lucknow-ramabai-pradesh-pragatisheel-samajwadi_257c9dfc-4a39-11e9-aca9-eac9e517f545.jpg
b'https://www.hindustantimes.com/cricket/ipl-2019-full-schedule-and-timings-of-group-stage-matches/story-9q5zvXsv0C5MPb52SZcaAN.html',b'IPL&thinsp;2019:&thinsp;Full schedule and timings of group stage matches',"b'Tue, 19 Mar 2019 10:13:57 GMT '","b'Defending champions Chennai Super Kings (CSK) will take on Royal Challengers Bangalore (RCB) in Chennai in the IPL opener, which will begin on March 23. All teams will be playing seven home matches each.'",b'https://www.hindustantimes.com/cricket/ipl-2019-full-schedule-and-timings-of-group-stage-matches/story-9q5zvXsv0C5MPb52SZcaAN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/2018-in-pictures_a730077c-4a2e-11e9-aca9-eac9e517f545.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-bjp-critic-yashwant-sinha-tweets-some-unsolicited-advice-it-s-for-the-oppostion/story-dcQW1mX91pRgC35eDVo9OM.html',"b""BJP critic Yashwant Sinha tweets some unsolicited advice. It's for the Oppositi...""","b'Tue, 19 Mar 2019 09:56:25 GMT '",b'Yashwant Sinha has asked the opposition leaders to sort out their differences privately to put up a united fight against the BJP in the Lok Sabha election.',b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-bjp-critic-yashwant-sinha-tweets-some-unsolicited-advice-it-s-for-the-oppostion/story-dcQW1mX91pRgC35eDVo9OM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/19/Pictures/yashwant-minister-05may2011-mavlankar-campaign-speaking-spectrum_3c83e8e0-4a2d-11e9-bf2d-62d340f7f10c.jpg
b'https://www.hindustantimes.com/bhopal/12-year-old-girl-in-madhya-pradesh-was-raped-by-brothers-uncle-before-being-beheaded-say-police/story-mJCmi2KougeVd71rV3Oi8I.html',"b'12-year-old girl raped, beheaded by brothers, uncle in Madhya Pradesh: Police'","b'Tue, 19 Mar 2019 05:14:17 GMT '","b'Police claimed to have solved the case of rape and beheading of a 12-old-year Dalit girl in Madhya Pradesh\xe2\x80\x99 Sagar district and charged her three brothers, uncle and aunt for the crime. Four of the accused have been arrested and one is absconding, officials said.'",b'https://www.hindustantimes.com/bhopal/12-year-old-girl-in-madhya-pradesh-was-raped-by-brothers-uncle-before-being-beheaded-say-police/story-mJCmi2KougeVd71rV3Oi8I.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/02/Pictures/baba-daati-maharaj-lawyer_932dd3b2-26b6-11e9-a07d-d8ccc3ad85d5.jpg
b'https://www.hindustantimes.com/columns/take-your-pick-slogans-or-progress/story-f1U6L519bFOfNZDEOIhe5O.html',b'Take your pick: Slogans or progress',"b'Mon, 18 Mar 2019 02:22:28 GMT '",b'Populist slogans have benefited leaders and parties but unfortunately did little for the country.',b'https://www.hindustantimes.com/columns/take-your-pick-slogans-or-progress/story-f1U6L519bFOfNZDEOIhe5O.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/03/16/Pictures/mcd-voting-north-east-delhi_376f0f2e-47e4-11e9-bbe0-3816edd40ae7.jpg
